"name","lng","lat","state","sector_label"
"Bais HaMedrash and Mesivta of Baltimore",-76.674591,39.37968,"MD","Private"
"Bais Medrash Elyon",-73.973431,40.6275,"NY","Private"
"Bais Medrash Toras Chesed",-74.21127,40.099704,"NJ","Private"
"Baker College",-83.694679,42.974764,"MI","Private"
"Baker University",-95.188231,38.777278,"KS","Private"
"Bakersfield College",-118.973491,35.4108,"CA",NA
"Bakke Graduate University",-96.753831,32.89439,"TX","Private"
"Baldwin Wallace University",-81.849112,41.373938,"OH","Private"
"Ball State University",-85.408863,40.198942,"IN","Public"
"Bank Street College of Education",-73.966643,40.805604,"NY","Private"
"Baptist Bible College",-93.285385,37.239731,"MO","Private"
"Baptist Health System School of Health Professions",-98.568633,29.517296,"TX","For-Profit"
"Baptist Memorial College of Health Sciences",-90.027501,35.138415,"TN","Private"
"Baptist Missionary Association Theological Seminary",-95.252385,31.976958,"TX","Private"
"Baptist Theological Seminary at Richmond",-77.468501,37.63249,"VA","Private"
"Baptist University of the Americas",-98.545169,29.346868,"TX","Private"
"Barclay College",-99.104027,37.620691,"KS","Private"
"Bard College",-73.906243,42.021803,"NY","Private"
"Bard College at Simon's Rock",-73.380008,42.209241,"MA","Private"
"Barnard College",-73.964027,40.809137,"NY","Private"
"Barnes-Jewish College Goldfarb School of Nursing",-90.260648,38.636881,"MO","Private"
"Barry University",-80.196136,25.878865,"FL","Private"
"Barton College",-77.913805,35.735463,"NC","Private"
"Bastyr University",-122.251708,47.729935,"WA","Private"
"Bates College",-70.203333,44.105299,"ME","Private"
"Bauder College",-84.399724,33.767494,"GA","For-Profit"
"Bay Path University",-72.583974,42.055364,"MA","Private"
"Bay State College",-71.076956,42.351965,"MA","For-Profit"
"Baylor College of Medicine",-95.395743,29.7106,"TX","Private"
"Baylor University",-97.119359,31.545956,"TX","Private"
"Be'er Yaakov Talmudic Seminary",-74.028483,41.139404,"NY","Private"
"Beacon College",-81.875619,28.810799,"FL","Private"
"Becker College",-71.811895,42.26918,"MA","Private"
"Beckfield College-Florence",-84.641475,39.017166,"KY","For-Profit"
"Beis Medrash Heichal Dovid",-73.751509,40.596827,"NY","Private"
"Belhaven University",-90.169228,32.318415,"MS","Private"
"Bellarmine University",-85.7049,38.219138,"KY","Private"
"Bellevue College",-122.149955,47.584778,"WA","Public"
"Bellevue University",-95.91764,41.150225,"NE","Private"
"Bellin College",-87.921722,44.468277,"WI","Private"
"Bellingham Technical College",-122.51216,48.766189,"WA",NA
"Belmont Abbey College",-81.041847,35.261276,"NC","Private"
"Belmont University",-86.794715,36.133866,"TN","Private"
"Beloit College",-89.03147,42.50363,"WI","Private"
"Bemidji State University",-94.874529,47.482505,"MN","Public"
