"zipcode","returns","income","mean_income"
"28356",2140,112940000,52775.7009345794
"28742",1440,75883000,52696.5277777778
"28006",520,27365000,52625
"27205",14060,738035000,52491.8207681366
"28768",2980,156390000,52479.8657718121
"27231",930,48794000,52466.6666666667
"27103",17070,894859000,52422.9056824839
"27018",3350,175398000,52357.6119402985
"28531",560,29311000,52341.0714285714
"28785",3150,164732000,52295.873015873
"28625",16390,857072000,52292.3733984137
"27101",8570,448010000,52276.5460910152
"28312",8040,419616000,52191.0447761194
"27407",22630,1180717000,52174.8563853292
"28227",25540,1332196000,52161.1589663273
"28626",1010,52669000,52147.5247524752
"28604",2740,142804000,52118.2481751825
"28144",9650,502024000,52023.2124352332
"27944",4920,255556000,51942.2764227642
"28729",1710,88143000,51545.6140350877
"27703",24730,1270155000,51360.8976951072
"28747",800,41081000,51351.25
"28303",13840,710524000,51338.4393063584
"27597",10100,518434000,51330.099009901
"27946",500,25646000,51292
"28391",2410,123597000,51285.0622406639
"27856",7370,377067000,51162.4151967436
"27295",16120,824602000,51153.9702233251
"28137",1270,64888000,51092.9133858268
"27403",8620,439653000,51003.8283062645
"27534",14360,732098000,50981.7548746518
"27043",2620,133319000,50885.1145038168
"27956",160,8128000,50800
"28205",22620,1148602000,50778.1609195402
"27330",16060,814836000,50736.9863013699
"27916",310,15721000,50712.9032258065
"27504",6320,319734000,50590.8227848101
"27826",230,11616000,50504.347826087
"27591",9030,455713000,50466.5559246955
"28150",11140,561963000,50445.5116696589
"28146",11980,604306000,50442.9048414023
"27950",880,44387000,50439.7727272727
"28103",4430,223314000,50409.4808126411
"27581",1600,80563000,50351.875
"27803",8960,450385000,50266.1830357143
"28579",240,12057000,50237.5
"28684",730,36614000,50156.1643835616
"27545",13200,661375000,50104.1666666667
"27332",12700,635876000,50068.9763779528
"28613",10320,516496000,50048.0620155039
"28786",8940,446715000,49968.1208053691
"27501",8350,416827000,49919.4011976048
"28466",3950,197035000,49882.2784810127
"27822",3660,182389000,49833.0601092896
"27021",7770,387059000,49814.5431145431
"27810",1470,73113000,49736.7346938776
"27045",4120,204416000,49615.5339805825
"28560",12050,597299000,49568.3817427386
"27525",6200,306743000,49474.6774193548
"28306",17530,865355000,49364.2327438677
"28023",6520,321740000,49346.6257668712
"28504",9020,444867000,49320.066518847
"27948",6190,304336000,49165.7512116317
"27019",1850,90871000,49119.4594594595
"27055",6020,295541000,49093.1893687708
