"","country","year","hourly_compensation"
"327","Norway","1991.0",21.9500007629395
"328","Philippines","1991.0",0.6700000166893
"329","Portugal","1991.0",4.05000019073486
"330","Singapore","1991.0",4.30999994277954
"331","Spain","1991.0",12.1899995803833
"332","Sri Lanka","1991.0",0.40000000596046
"333","Sweden","1991.0",22
"334","Switzerland","1991.0",21.4300003051758
"335","Taiwan","1991.0",4.34000015258789
"336","United Kingdom","1991.0",13.4200000762939
"337","United States","1991.0",15.5200004577637
"338","Australia","1992.0",13.2299995422363
"339","Austria","1992.0",20.2399997711182
"340","Belgium","1992.0",20.5
"341","Canada","1992.0",17.5699996948242
"342","Denmark","1992.0",20.4099998474121
"343","Finland","1992.0",19.1599998474121
"344","France","1992.0",17.3199996948242
"345","Greece","1992.0",7.65999984741211
"346","Hong Kong, China","1992.0",3.91000008583069
"347","Ireland","1992.0",13.6000003814697
"348","Israel","1992.0",8.11999988555908
"349","Italy","1992.0",19.6399993896484
"350","Japan","1992.0",16.1299991607666
"351","Korea, Rep.","1992.0",5.21000003814697
"352","Luxembourg","1992.0",18.1299991607666
"353","Mexico","1992.0",2.16000008583069
"354","Netherlands","1992.0",20.0100002288818
"355","New Zealand","1992.0",8.05000019073486
"356","Norway","1992.0",23.4799995422363
"357","Philippines","1992.0",0.77999997138977
"358","Portugal","1992.0",4.92999982833862
"359","Singapore","1992.0",4.90999984741211
"360","Spain","1992.0",13.3900003433228
"361","Sri Lanka","1992.0",0.40000000596046
"362","Sweden","1992.0",24.4099998474121
"363","Switzerland","1992.0",22.9500007629395
"364","Taiwan","1992.0",5.11999988555908
"365","United Kingdom","1992.0",13.9799995422363
"366","United States","1992.0",15.9499998092651
"367","Australia","1993.0",12.6199998855591
"368","Austria","1993.0",20.1100006103516
"369","Belgium","1993.0",20.1499996185303
"370","Canada","1993.0",16.9699993133545
"371","Denmark","1993.0",19.6100006103516
"372","Finland","1993.0",15.8100004196167
"373","France","1993.0",16.5200004577637
"374","Germany","1993.0",23.8899993896484
"375","Greece","1993.0",7.05999994277954
"376","Hong Kong, China","1993.0",4.28000020980835
"377","Ireland","1993.0",12.3800001144409
"378","Israel","1993.0",7.86999988555908
"379","Italy","1993.0",15.9799995422363
"380","Japan","1993.0",18.8600006103516
"381","Korea, Rep.","1993.0",5.71000003814697
"382","Luxembourg","1993.0",18.0400009155273
"383","Mexico","1993.0",2.35999989509583
"384","Netherlands","1993.0",19.7900009155273
"385","New Zealand","1993.0",8.05000019073486
"386","Norway","1993.0",20.5900001525879
"387","Philippines","1993.0",0.75
"388","Portugal","1993.0",4.30000019073486
"389","Singapore","1993.0",5.21000003814697
"390","Spain","1993.0",11.4899997711182
"391","Sri Lanka","1993.0",0.41999998688698
"392","Sweden","1993.0",17.4699993133545
"393","Switzerland","1993.0",22.3600006103516
"394","Taiwan","1993.0",5.15999984741211
"395","United Kingdom","1993.0",12.2700004577637
"396","United States","1993.0",16.3700008392334
"397","Australia","1994.0",14.1300001144409
"398","Austria","1994.0",21.4899997711182
"399","Belgium","1994.0",21.9300003051758
"400","Canada","1994.0",16.2900009155273
"401","Denmark","1994.0",20.9300003051758
"402","Finland","1994.0",18.1599998474121
"403","France","1994.0",17.1000003814697
"404","Germany","1994.0",25.3299999237061
"405","Greece","1994.0",7.59000015258789
"406","Hong Kong, China","1994.0",4.59999990463257
"407","Hungary","1994.0",2.70000004768372
"408","Ireland","1994.0",12.8999996185303
"409","Israel","1994.0",8.19999980926514
"410","Italy","1994.0",16.0900001525879
"411","Japan","1994.0",20.9799995422363
"412","Korea, Rep.","1994.0",6.34000015258789
"413","Luxembourg","1994.0",19.8799991607666
"414","Mexico","1994.0",2.74000000953674
"415","Netherlands","1994.0",20.8400001525879
"416","New Zealand","1994.0",9.09000015258789
"417","Norway","1994.0",21.3999996185303
"418","Philippines","1994.0",0.88999998569489
"419","Portugal","1994.0",4.40000009536743
"420","Singapore","1994.0",6.23000001907349
"421","Spain","1994.0",11.3900003433228
"422","Sri Lanka","1994.0",0.44999998807907
"423","Sweden","1994.0",18.5799999237061
"424","Switzerland","1994.0",24.6200008392334
"425","Taiwan","1994.0",5.51000022888184
"426","United Kingdom","1994.0",12.8299999237061
"427","United States","1994.0",16.7800006866455
"428","Australia","1995.0",15.3599996566772
"429","Austria","1995.0",25.2600002288818
"430","Belgium","1995.0",25.6800003051758
"431","Canada","1995.0",16.5
"432","Czech Rep.","1995.0",2.52999997138977
"433","Denmark","1995.0",25.0200004577637
"434","Finland","1995.0",22.6000003814697
"435","France","1995.0",19.2399997711182
"436","Germany","1995.0",30.1000003814697
"437","Greece","1995.0",9.05000019073486
"438","Hong Kong, China","1995.0",4.80000019073486
"439","Hungary","1995.0",2.69000005722046
"440","Ireland","1995.0",14.1400003433228
"441","Israel","1995.0",9.40999984741211
"442","Italy","1995.0",16.5300006866455
"443","Japan","1995.0",23.4699993133545
"444","Korea, Rep.","1995.0",7.28999996185303
"445","Luxembourg","1995.0",23.4500007629395
"446","Mexico","1995.0",1.70000004768372
"447","Netherlands","1995.0",24.0300006866455
"448","New Zealand","1995.0",10.3500003814697
"449","Norway","1995.0",24.8400001525879
"450","Philippines","1995.0",0.93999999761581
"451","Portugal","1995.0",5.1399998664856
"452","Singapore","1995.0",7.65000009536743
"453","Spain","1995.0",12.6999998092651
"454","Sri Lanka","1995.0",0.47999998927116
"455","Sweden","1995.0",21.6200008392334
"456","Switzerland","1995.0",28.8899993896484
"457","Taiwan","1995.0",5.98999977111816
"458","United Kingdom","1995.0",13.710000038147
"459","United States","1995.0",17.1700000762939
"460","Australia","1996.0",17.0200004577637
"461","Austria","1996.0",24.75
"462","Belgium","1996.0",25.25
"463","Brazil","1996.0",5.76000022888184
"464","Canada","1996.0",17.0400009155273
"465","Czech Rep.","1996.0",2.94000005722046
"466","Denmark","1996.0",25.1399993896484
"467","Finland","1996.0",22.2099990844727
"468","France","1996.0",18.9699993133545
"469","Germany","1996.0",29.5799999237061
"470","Greece","1996.0",9.52999973297119
"471","Hong Kong, China","1996.0",5.11999988555908
"472","Hungary","1996.0",2.71000003814697
"473","Ireland","1996.0",14.4899997711182
"474","Israel","1996.0",10.1099996566772
"475","Italy","1996.0",18.0699996948242
"476","Japan","1996.0",20.4400005340576
"477","Korea, Rep.","1996.0",8.21000003814697
"478","Luxembourg","1996.0",22.4500007629395
"479","Mexico","1996.0",1.62999999523163
"480","Netherlands","1996.0",23.1000003814697
"481","New Zealand","1996.0",11.3100004196167
"482","Norway","1996.0",25.4599990844727
"483","Philippines","1996.0",1.00999999046326
"484","Portugal","1996.0",5.32999992370606
"485","Singapore","1996.0",8.25
"486","Spain","1996.0",13.3299999237061
"487","Sri Lanka","1996.0",0.47999998927116
"488","Sweden","1996.0",24.2900009155273
"489","Switzerland","1996.0",27.9400005340576
"490","Taiwan","1996.0",5.98000001907349
"491","United Kingdom","1996.0",14.1199998855591
"492","United States","1996.0",17.7399997711182
"493","Australia","1997.0",16.7099990844727
"494","Austria","1997.0",21.8500003814697
"495","Belgium","1997.0",22.2800006866455
"496","Brazil","1997.0",5.76999998092651
"497","Canada","1997.0",16.8299999237061
"498","Czech Rep.","1997.0",2.78999996185303
"499","Denmark","1997.0",23.1499996185303
"500","Finland","1997.0",20.0100002288818
"501","France","1997.0",17.0699996948242
"502","Germany","1997.0",25.9599990844727
"503","Greece","1997.0",9.14999961853027
"504","Hong Kong, China","1997.0",5.38000011444092
"505","Hungary","1997.0",2.6800000667572
"506","Ireland","1997.0",14.25
"507","Israel","1997.0",10.8000001907349
"508","Italy","1997.0",16.9500007629395
"509","Japan","1997.0",18.9799995422363
"510","Korea, Rep.","1997.0",7.8600001335144
"511","Luxembourg","1997.0",19.6599998474121
"512","Mexico","1997.0",1.73000001907349
"513","Netherlands","1997.0",20.7299995422363
"514","New Zealand","1997.0",11.3199996948242
"515","Norway","1997.0",24.1200008392334
"516","Philippines","1997.0",0.95999997854233
"517","Poland","1997.0",2.78999996185303
"518","Portugal","1997.0",5.13000011444092
"519","Singapore","1997.0",8.10000038146973
"520","Spain","1997.0",12.0799999237061
"521","Sri Lanka","1997.0",0.46000000834465
"522","Sweden","1997.0",22.3700008392334
"523","Switzerland","1997.0",23.8500003814697
"524","Taiwan","1997.0",6.09000015258789
"525","United Kingdom","1997.0",15.6899995803833
"526","United States","1997.0",18.2000007629395
"527","Australia","1998.0",15.1099996566772
"528","Austria","1998.0",22.0200004577637
"529","Belgium","1998.0",22.6200008392334
"530","Brazil","1998.0",5.48999977111816
"531","Canada","1998.0",15.9300003051758
"532","Czech Rep.","1998.0",2.99000000953674
"533","Denmark","1998.0",23.6800003051758
"534","Finland","1998.0",19.3999996185303
"535","France","1998.0",17.2800006866455
"536","Germany","1998.0",25.1700000762939
"537","Greece","1998.0",8.88000011444092
"538","Hong Kong, China","1998.0",5.40000009536743
"539","Hungary","1998.0",2.72000002861023
"540","Ireland","1998.0",14.1800003051758
"541","Israel","1998.0",10.8599996566772
"542","Italy","1998.0",16.7299995422363
"543","Japan","1998.0",17.6200008392334
"544","Korea, Rep.","1998.0",5.67000007629394
"545","Luxembourg","1998.0",19.5900001525879
"546","Mexico","1998.0",1.64999997615814
"547","Netherlands","1998.0",21.2900009155273
"548","New Zealand","1998.0",9.38000011444092
"549","Norway","1998.0",24.4300003051758
"550","Philippines","1998.0",0.72000002861023
"551","Poland","1998.0",3
"552","Portugal","1998.0",5.19999980926514
"553","Singapore","1998.0",7.42999982833862
"554","Spain","1998.0",11.9499998092651
"555","Sri Lanka","1998.0",0.46999999880791
"556","Sweden","1998.0",22.3999996185303
"557","Switzerland","1998.0",24.0400009155273
"558","Taiwan","1998.0",5.3899998664856
"559","United Kingdom","1998.0",16.9799995422363
"560","United States","1998.0",18.5200004577637
"561","Australia","1999.0",15.9399995803833
"562","Austria","1999.0",21.6299991607666
"563","Belgium","1999.0",22.1399993896484
"564","Brazil","1999.0",3.39000010490418
"565","Canada","1999.0",16.1000003814697
"566","Czech Rep.","1999.0",3.11999988555908
"567","Denmark","1999.0",24.0200004577637
"568","Finland","1999.0",19.6599998474121
"569","France","1999.0",16.9799995422363
"570","Germany","1999.0",24.5699996948242
"571","Greece","1999.0",8.60000038146973
"572","Hong Kong, China","1999.0",5.36999988555908
"573","Hungary","1999.0",2.75999999046326
"574","Ireland","1999.0",14.3299999237061
"575","Israel","1999.0",10.5699996948242
"576","Italy","1999.0",16.3199996948242
"577","Japan","1999.0",20.4400005340576
"578","Korea, Rep.","1999.0",7.3600001335144
"579","Luxembourg","1999.0",19.5
"580","Mexico","1999.0",1.80999994277954
"581","Netherlands","1999.0",21.3600006103516
"582","New Zealand","1999.0",9.44999980926514
"583","Norway","1999.0",24.7299995422363
"584","Philippines","1999.0",0.80000001192093
"585","Poland","1999.0",2.89000010490418
"586","Portugal","1999.0",5.05999994277954
"587","Singapore","1999.0",7.01999998092651
"588","Spain","1999.0",11.9200000762939
"589","Sri Lanka","1999.0",0.46000000834465
"590","Sweden","1999.0",22.0699996948242
"591","Switzerland","1999.0",23.2299995422363
"592","Taiwan","1999.0",5.78000020980835
"593","United Kingdom","1999.0",17.3400001525879
"594","United States","1999.0",18.8999996185303
"595","Australia","2000.0",14.4099998474121
"596","Austria","2000.0",19.1200008392334
"597","Belgium","2000.0",20.1299991607666
"598","Brazil","2000.0",3.5
"599","Canada","2000.0",16.4799995422363
"600","Czech Rep.","2000.0",3.00999999046326
"601","Denmark","2000.0",21.4300003051758
"602","Finland","2000.0",17.8400001525879
"603","France","2000.0",15.4300003051758
"604","Germany","2000.0",22.6700000762939
"605","Greece","2000.0",7.67000007629394
"606","Hong Kong, China","2000.0",5.44999980926514
"607","Hungary","2000.0",2.74000000953674
"608","Ireland","2000.0",13.2799997329712
"609","Israel","2000.0",11.4099998474121
"610","Italy","2000.0",14.4700002670288
"611","Japan","2000.0",21.9300003051758
"612","Korea, Rep.","2000.0",8.22999954223633
"613","Luxembourg","2000.0",17.4099998474121
"614","Mexico","2000.0",2.0699999332428
"615","Netherlands","2000.0",19.3500003814697
"616","New Zealand","2000.0",8.38000011444092
"617","Norway","2000.0",22.5599994659424
"618","Philippines","2000.0",0.76999998092651
"619","Poland","2000.0",2.80999994277954
"620","Portugal","2000.0",4.48999977111816
"621","Singapore","2000.0",7.30000019073486
"622","Spain","2000.0",10.6599998474121
"623","Sri Lanka","2000.0",0.47999998927116
"624","Sweden","2000.0",20.6800003051758
"625","Switzerland","2000.0",20.9500007629395
"626","Taiwan","2000.0",6.19000005722046
"627","United Kingdom","2000.0",16.8400001525879
"628","United States","2000.0",19.6499996185303
"629","Australia","2001.0",13.3299999237061
"630","Austria","2001.0",19.0699996948242
"631","Belgium","2001.0",19.8400001525879
"632","Brazil","2001.0",2.97000002861023
"633","Canada","2001.0",16.2700004577637
"634","Czech Rep.","2001.0",3.13000011444092
"635","Denmark","2001.0",21.6700000762939
"636","Finland","2001.0",18.0699996948242
"637","France","2001.0",15.5299997329712
